age,sex,district,education,marital_status,B_year,employment_status,industry,main_activity
0-18,1,11,9.0,1,1946,-1.0,-1.0,7.0
36-50,1,11,13.0,2,1982,3.0,85229.0,1.0
51-65,2,11,19.0,2,1982,-1.0,64910.0,1.0
0-18,1,11,-1.0,7,1978,5.0,-1.0,1.0
36-50,2,11,-1.0,2,1974,3.0,97006.0,-1.0
36-50,1,11,10.0,2,2004,-1.0,-1.0,-1.0
0-18,2,11,10.0,1,1956,6.0,85211.0,-1.0
0-18,1,11,8.0,2,1937,-1.0,-1.0,-1.0
66+,2,11,11.0,2,1944,-1.0,-1.0,9.0
36-50,1,11,8.0,2,1979,5.0,49232.0,9.0
66+,2,11,19.0,2,2012,-1.0,31001.0,1.0
51-65,2,11,13.0,2,1972,-1.0,-1.0,1.0
19-35,1,11,16.0,1,1959,-1.0,-1.0,-1.0
51-65,2,11,10.0,1,1954,-1.0,-1.0,-1.0
36-50,1,11,8.0,2,1996,5.0,-1.0,1.0
36-50,2,11,10.0,7,1972,3.0,18112.0,1.0
19-35,2,11,10.0,2,1959,-1.0,-1.0,1.0
36-50,1,11,12.0,2,1969,5.0,49221.0,1.0
0-18,2,11,13.0,2,1976,3.0,82200.0,7.0
0-18,2,11,9.0,2,1995,-1.0,41002.0,1.0
66+,1,11,8.0,2,1976,3.0,-1.0,1.0
36-50,2,11,2.0,1,1968,-1.0,-1.0,9.0
51-65,2,11,8.0,2,1962,3.0,97006.0,1.0
36-50,2,11,13.0,2,1981,-1.0,-1.0,7.0
19-35,2,11,19.0,2,1964,3.0,-1.0,-1.0
36-50,1,11,9.0,2,1975,3.0,41003.0,1.0
51-65,1,11,10.0,2,1961,3.0,45201.0,1.0
19-35,2,11,10.0,2,1996,-1.0,-1.0,7.0
0-18,1,11,6.0,1,1963,4.0,85211.0,7.0
0-18,1,11,13.0,1,1965,6.0,-1.0,-1.0
0-18,2,11,5.0,1,2008,-1.0,-1.0,-1.0
19-35,1,11,10.0,1,1995,3.0,1494.0,1.0
51-65,2,11,8.0,2,1959,3.0,99998.0,1.0
19-35,1,11,10.0,2,2007,-1.0,-1.0,-1.0
0-18,1,11,11.0,4,1964,-1.0,-1.0,-1.0
51-65,1,11,9.0,2,1993,-1.0,86202.0,99.0
0-18,2,11,13.0,2,1960,-1.0,46303.0,-1.0
36-50,1,11,-1.0,4,1971,-1.0,-1.0,4.0
51-65,1,11,5.0,2,2000,-1.0,41003.0,7.0
0-18,2,11,13.0,2,1962,-1.0,-1.0,1.0
19-35,2,11,13.0,1,1989,1.0,84110.0,1.0
19-35,1,11,13.0,1,1994,-1.0,-1.0,8.0
19-35,2,11,12.0,1,1994,-1.0,-1.0,-1.0
36-50,1,11,11.0,2,1976,5.0,49222.0,1.0
0-18,2,11,11.0,2,1994,5.0,-1.0,1.0
19-35,1,11,12.0,1,1989,5.0,49232.0,1.0
19-35,2,11,7.0,2,1989,-1.0,-1.0,-1.0
19-35,2,11,13.0,2,2017,1.0,49232.0,-1.0
36-50,1,11,13.0,2,1976,-1.0,-1.0,-1.0
36-50,2,11,11.0,2,1974,-1.0,-1.0,7.0
0-18,2,11,9.0,1,2004,-1.0,-1.0,-1.0
0-18,2,11,12.0,1,1993,-1.0,-1.0,1.0
0-18,1,11,7.0,1,2006,-1.0,-1.0,-1.0
19-35,2,11,10.0,1,1972,-1.0,-1.0,9.0
19-35,2,11,-1.0,2,1976,-1.0,-1.0,7.0
51-65,1,11,12.0,2,1959,5.0,58111.0,2.0
0-18,1,11,12.0,2,1958,-1.0,49221.0,-1.0
19-35,1,11,3.0,1,1976,-1.0,-1.0,1.0
0-18,2,11,-1.0,1,2015,-1.0,-1.0,-1.0
51-65,2,11,10.0,2,1959,-1.0,-1.0,7.0
19-35,1,11,13.0,1,1991,3.0,10713.0,1.0
51-65,2,11,13.0,1,2010,3.0,-1.0,1.0
0-18,2,11,-1.0,1,2017,-1.0,-1.0,-1.0
66+,2,11,13.0,1,1949,-1.0,-1.0,4.0
19-35,1,11,6.0,1,2001,-1.0,-1.0,-1.0
0-18,1,11,10.0,1,2003,-1.0,-1.0,8.0
51-65,2,11,10.0,2,1937,5.0,-1.0,4.0
36-50,1,11,1.0,1,2015,3.0,-1.0,1.0
66+,1,11,15.0,1,2002,5.0,1291.0,7.0
66+,2,11,-1.0,2,1991,3.0,-1.0,1.0
0-18,1,11,10.0,2,1962,-1.0,45402.0,1.0
0-18,2,11,11.0,1,2001,-1.0,-1.0,4.0
0-18,2,11,2.0,1,2012,-1.0,-1.0,-1.0
0-18,1,11,13.0,1,2001,-1.0,-1.0,7.0
51-65,1,11,13.0,2,1963,2.0,49221.0,1.0
0-18,1,11,9.0,2,1979,-1.0,10629.0,1.0
19-35,2,11,12.0,2,1991,3.0,53200.0,1.0
19-35,2,11,13.0,2,2007,-1.0,-1.0,7.0
0-18,2,11,13.0,2,2017,-1.0,84230.0,-1.0
36-50,2,11,15.0,2,1977,1.0,84110.0,1.0
19-35,1,11,10.0,2,1988,3.0,47711.0,1.0
0-18,2,11,8.0,2,1967,-1.0,-1.0,-1.0
66+,2,11,4.0,1,1975,3.0,-1.0,1.0
0-18,1,11,11.0,1,2001,-1.0,-1.0,8.0
51-65,1,11,13.0,1,1960,-1.0,-1.0,7.0
19-35,1,11,0.0,2,1941,3.0,-1.0,1.0
19-35,2,11,9.0,1,2017,-1.0,-1.0,1.0
19-35,2,11,10.0,2,1988,3.0,-1.0,1.0
66+,1,11,10.0,2,1947,-1.0,-1.0,5.0
36-50,1,11,11.0,2,1981,3.0,81301.0,1.0
0-18,2,11,8.0,1,2005,-1.0,-1.0,-1.0
36-50,2,11,11.0,2,2000,3.0,47113.0,1.0
19-35,1,11,10.0,2,2000,2.0,-1.0,7.0
0-18,1,11,12.0,1,2001,-1.0,-1.0,8.0
0-18,1,11,0.0,1,2013,-1.0,-1.0,-1.0
19-35,1,11,12.0,4,1970,-1.0,-1.0,-1.0
0-18,1,11,3.0,1,2010,-1.0,-1.0,-1.0
66+,1,11,7.0,2,1946,-1.0,-1.0,9.0
36-50,1,11,10.0,2,1975,3.0,41003.0,1.0
36-50,1,11,10.0,2,1978,5.0,49222.0,1.0
0-18,1,11,2.0,1,2003,-1.0,-1.0,8.0
51-65,1,11,11.0,2,1961,5.0,49222.0,1.0
19-35,1,11,1.0,2,2009,-1.0,-1.0,-1.0
66+,2,11,10.0,1,1975,3.0,97006.0,1.0
51-65,2,11,13.0,2,1959,-1.0,-1.0,7.0
66+,2,11,8.0,4,1941,-1.0,-1.0,4.0
0-18,2,11,8.0,4,2009,2.0,-1.0,1.0
36-50,1,11,13.0,2,1958,-1.0,85211.0,-1.0
0-18,2,11,7.0,2,1969,3.0,-1.0,-1.0
36-50,1,11,11.0,2,1969,3.0,23933.0,1.0
51-65,2,11,7.0,2,1967,-1.0,-1.0,7.0
36-50,1,11,10.0,1,2009,-1.0,-1.0,1.0
51-65,2,11,9.0,4,1955,-1.0,-1.0,7.0
66+,2,11,11.0,2,1952,-1.0,-1.0,9.0
36-50,1,11,4.0,1,1979,3.0,41002.0,1.0
0-18,2,11,-1.0,1,2016,-1.0,-1.0,-1.0
19-35,2,11,13.0,2,1984,-1.0,-1.0,7.0
51-65,2,11,8.0,2,2012,-1.0,47721.0,7.0
19-35,2,11,13.0,2,1994,6.0,1414.0,1.0
36-50,1,11,7.0,1,1972,-1.0,-1.0,1.0
0-18,2,11,9.0,1,1985,-1.0,-1.0,1.0
0-18,1,11,1.0,1,2012,-1.0,-1.0,-1.0
0-18,2,11,10.0,1,1969,3.0,-1.0,-1.0
36-50,2,11,3.0,1,1963,3.0,-1.0,1.0
36-50,1,11,13.0,2,1981,3.0,46900.0,1.0
36-50,2,11,7.0,4,1985,-1.0,-1.0,7.0
0-18,2,11,2.0,1,2011,-1.0,-1.0,-1.0
19-35,2,11,7.0,2,2008,2.0,-1.0,-1.0
36-50,1,11,10.0,2,1971,3.0,46521.0,1.0
36-50,1,11,10.0,2,1988,-1.0,58111.0,8.0
36-50,1,11,11.0,1,2004,-1.0,-1.0,1.0
36-50,2,11,5.0,2,1981,-1.0,-1.0,7.0
0-18,2,11,19.0,1,2014,-1.0,-1.0,-1.0
36-50,2,11,13.0,2,1979,4.0,10629.0,1.0
0-18,2,11,10.0,1,1953,1.0,84230.0,-1.0
0-18,1,11,13.0,2,2000,-1.0,-1.0,1.0
51-65,1,11,8.0,2,1954,6.0,14101.0,1.0
19-35,1,11,6.0,2,1995,1.0,85211.0,1.0
36-50,1,11,11.0,1,2001,3.0,-1.0,-1.0
36-50,1,11,10.0,1,1972,3.0,69101.0,1.0
19-35,1,11,12.0,2,1987,-1.0,-1.0,7.0
66+,2,11,12.0,2,1940,3.0,-1.0,1.0
0-18,1,11,12.0,2,1998,3.0,55101.0,1.0
0-18,2,11,5.0,1,2008,-1.0,-1.0,-1.0
19-35,2,11,11.0,2,1991,-1.0,-1.0,7.0
0-18,2,11,15.0,2,1980,-1.0,-1.0,1.0
66+,2,11,11.0,2,1942,5.0,86202.0,1.0
19-35,2,11,-1.0,2,2001,3.0,-1.0,7.0
0-18,1,11,8.0,2,2007,3.0,-1.0,2.0
51-65,2,11,10.0,2,2009,3.0,-1.0,4.0
66+,2,11,10.0,1,1937,-1.0,-1.0,1.0
0-18,1,11,10.0,2,1990,-1.0,47113.0,-1.0
51-65,1,11,10.0,4,1963,-1.0,-1.0,7.0
66+,1,11,13.0,1,1939,1.0,95111.0,7.0
19-35,1,11,6.0,2,1985,3.0,43301.0,1.0
0-18,1,11,7.0,1,1948,-1.0,-1.0,1.0
51-65,1,11,10.0,2,1953,1.0,-1.0,-1.0
0-18,1,11,13.0,2,1971,-1.0,-1.0,3.0
36-50,1,11,12.0,1,2002,-1.0,1494.0,1.0
51-65,2,11,11.0,4,1965,-1.0,-1.0,7.0
0-18,2,11,-1.0,1,2015,-1.0,-1.0,-1.0
51-65,2,11,13.0,1,1998,-1.0,10629.0,1.0
36-50,1,11,-1.0,1,2011,-1.0,1414.0,1.0
19-35,1,11,13.0,2,1988,1.0,84130.0,1.0
66+,1,11,7.0,2,1939,5.0,49232.0,1.0
36-50,1,11,11.0,2,1958,-1.0,-1.0,1.0
0-18,2,11,8.0,2,1955,2.0,16291.0,7.0
66+,1,11,9.0,1,1972,-1.0,-1.0,-1.0
0-18,2,11,9.0,1,2004,-1.0,-1.0,-1.0
19-35,1,11,3.0,1,1976,-1.0,-1.0,1.0
66+,1,11,12.0,1,1977,1.0,-1.0,3.0
51-65,1,11,10.0,2,1964,5.0,16291.0,1.0
36-50,2,11,13.0,2,1974,-1.0,-1.0,7.0
66+,2,11,3.0,4,1941,-1.0,-1.0,9.0
0-18,1,11,6.0,1,1975,3.0,-1.0,4.0
19-35,2,11,15.0,1,1989,3.0,10791.0,1.0
36-50,1,11,10.0,1,1974,-1.0,10711.0,1.0
36-50,2,11,19.0,1,1941,-1.0,49233.0,8.0
0-18,2,11,11.0,1,1991,-1.0,-1.0,4.0
0-18,2,11,4.0,1,2009,-1.0,-1.0,-1.0
0-18,1,11,11.0,1,1982,5.0,84110.0,9.0
19-35,2,11,13.0,1,1947,-1.0,-1.0,9.0
36-50,1,11,-1.0,2,2001,-1.0,-1.0,-1.0
19-35,2,11,11.0,1,1996,3.0,14101.0,1.0
66+,1,11,5.0,2,1946,4.0,45402.0,1.0
0-18,1,11,5.0,1,2008,-1.0,-1.0,-1.0
51-65,1,11,12.0,2,1972,-1.0,-1.0,5.0
66+,1,11,15.0,1,2002,5.0,1291.0,7.0
19-35,2,11,13.0,1,1996,3.0,13945.0,1.0
36-50,2,11,13.0,2,1977,2.0,41002.0,1.0
19-35,2,11,5.0,2,2012,-1.0,-1.0,1.0
36-50,2,11,4.0,2,1978,3.0,97006.0,1.0
36-50,2,11,6.0,2,2015,-1.0,-1.0,1.0
0-18,1,11,1.0,1,2002,-1.0,-1.0,99.0
19-35,2,11,5.0,1,1928,-1.0,-1.0,4.0
66+,1,11,9.0,2,1959,5.0,-1.0,-1.0
66+,1,11,11.0,2,1989,-1.0,15121.0,5.0
66+,1,11,10.0,1,1985,3.0,36002.0,7.0
51-65,1,11,9.0,1,1964,5.0,49221.0,1.0
0-18,1,11,11.0,1,2001,-1.0,-1.0,8.0
51-65,1,11,8.0,4,2009,-1.0,97006.0,-1.0
0-18,1,11,8.0,1,1968,-1.0,49222.0,-1.0
66+,1,11,10.0,1,1999,-1.0,10711.0,7.0
66+,2,11,10.0,2,2002,3.0,-1.0,1.0
36-50,1,11,10.0,1,2004,-1.0,-1.0,1.0
51-65,2,11,13.0,2,1959,-1.0,-1.0,7.0
51-65,2,11,12.0,2,1963,-1.0,-1.0,4.0
0-18,1,11,19.0,2,2003,-1.0,-1.0,-1.0
0-18,1,11,7.0,2,1999,-1.0,46496.0,9.0
0-18,1,11,12.0,2,1945,-1.0,14101.0,1.0
0-18,2,11,8.0,2,1967,-1.0,-1.0,-1.0
0-18,1,11,-1.0,2,1958,5.0,47817.0,8.0
66+,1,11,11.0,1,1982,3.0,-1.0,1.0
66+,1,11,5.0,1,1989,-1.0,84130.0,1.0
0-18,1,11,10.0,2,2009,-1.0,-1.0,7.0
0-18,2,11,10.0,1,2002,-1.0,-1.0,99.0
51-65,1,11,9.0,1,1937,-1.0,41001.0,-1.0
0-18,2,11,6.0,2,1996,3.0,-1.0,-1.0
0-18,2,11,10.0,1,1997,-1.0,-1.0,7.0
51-65,2,11,13.0,2,2010,3.0,-1.0,7.0
36-50,2,11,11.0,1,1979,1.0,85102.0,1.0
19-35,2,11,8.0,2,1968,3.0,-1.0,-1.0
0-18,2,11,15.0,2,2014,-1.0,41001.0,1.0
36-50,2,11,13.0,2,1977,-1.0,-1.0,7.0
19-35,1,11,13.0,2,1995,-1.0,-1.0,7.0
0-18,2,11,11.0,1,1989,-1.0,-1.0,-1.0
36-50,2,11,10.0,2,1973,5.0,97005.0,1.0
51-65,1,11,13.0,2,1963,-1.0,-1.0,4.0
36-50,1,11,13.0,2,1971,4.0,49212.0,1.0
36-50,1,11,10.0,2,1969,3.0,47113.0,1.0
0-18,2,11,10.0,1,1974,-1.0,-1.0,9.0
0-18,2,11,9.0,1,1958,-1.0,-1.0,7.0
19-35,2,11,-1.0,1,1993,-1.0,-1.0,1.0
19-35,2,11,13.0,2,2006,-1.0,-1.0,2.0
0-18,1,11,-1.0,1,2017,-1.0,-1.0,-1.0
51-65,2,11,13.0,2,1960,-1.0,-1.0,5.0
51-65,1,11,5.0,2,1955,2.0,46496.0,1.0
0-18,2,11,5.0,1,2008,-1.0,-1.0,-1.0
19-35,1,11,13.0,2,1964,2.0,-1.0,1.0
0-18,2,11,13.0,2,1974,-1.0,-1.0,8.0
19-35,2,11,2.0,2,2001,1.0,-1.0,1.0
36-50,2,11,10.0,1,1991,-1.0,-1.0,3.0
0-18,2,11,11.0,2,2009,5.0,46900.0,-1.0
36-50,2,11,19.0,2,1983,3.0,-1.0,1.0
19-35,2,11,11.0,2,1993,-1.0,-1.0,7.0
36-50,2,11,13.0,1,1978,3.0,49221.0,9.0
0-18,2,11,10.0,2,1981,1.0,-1.0,9.0
51-65,1,11,9.0,1,1964,5.0,49221.0,1.0
19-35,1,11,12.0,2,1988,-1.0,31001.0,4.0
19-35,2,11,5.0,1,2000,-1.0,-1.0,-1.0
36-50,2,11,11.0,2,1972,-1.0,-1.0,7.0
,2,11,-1.0,1,2018,-1.0,-1.0,-1.0
36-50,1,11,8.0,2,1974,3.0,16213.0,1.0
36-50,1,11,10.0,1,1982,1.0,-1.0,7.0
0-18,2,11,-1.0,1,2014,-1.0,-1.0,-1.0
19-35,1,11,10.0,1,1989,3.0,22202.0,1.0
36-50,2,11,12.0,1,1963,-1.0,-1.0,1.0
0-18,2,11,0.0,2,1996,-1.0,-1.0,7.0
0-18,2,11,10.0,1,1995,-1.0,-1.0,8.0
51-65,1,11,8.0,2,1958,3.0,41003.0,1.0
51-65,2,11,13.0,2,1965,3.0,97006.0,1.0
0-18,1,11,5.0,1,1987,-1.0,-1.0,1.0
0-18,1,11,5.0,1,2008,-1.0,-1.0,-1.0
36-50,2,11,13.0,2,2016,-1.0,33150.0,1.0
19-35,2,11,14.0,1,1997,-1.0,-1.0,-1.0
36-50,1,11,13.0,2,1996,-1.0,-1.0,8.0
19-35,2,11,7.0,2,1974,1.0,41003.0,1.0
36-50,1,11,11.0,2,1971,5.0,1285.0,1.0
19-35,1,11,6.0,2,1980,-1.0,41002.0,-1.0
0-18,2,11,11.0,2,1974,-1.0,-1.0,99.0
36-50,1,11,6.0,2,1979,-1.0,-1.0,4.0
19-35,2,11,12.0,2,1928,5.0,-1.0,99.0
51-65,2,11,13.0,2,1958,-1.0,-1.0,4.0
36-50,2,11,5.0,2,1982,3.0,1271.0,1.0
66+,2,11,-1.0,1,1984,5.0,-1.0,5.0
66+,2,11,13.0,1,1981,-1.0,46521.0,-1.0
66+,2,11,8.0,2,1951,-1.0,-1.0,9.0
51-65,1,11,12.0,1,1951,3.0,14101.0,-1.0
66+,2,11,13.0,1,1944,6.0,-1.0,1.0
0-18,2,11,9.0,1,2004,-1.0,-1.0,-1.0
0-18,1,11,19.0,2,1951,-1.0,-1.0,7.0
0-18,1,11,11.0,1,2001,-1.0,-1.0,8.0
36-50,2,11,3.0,1,1941,3.0,41002.0,9.0
51-65,2,11,13.0,1,2006,-1.0,-1.0,8.0
51-65,2,11,13.0,4,1970,3.0,85211.0,99.0
19-35,2,11,9.0,2,1959,6.0,82200.0,7.0
19-35,2,11,15.0,2,1974,-1.0,-1.0,9.0
0-18,2,11,3.0,1,2011,-1.0,-1.0,-1.0
36-50,2,11,13.0,2,1999,1.0,-1.0,1.0
51-65,1,11,11.0,1,1976,-1.0,41002.0,-1.0
0-18,1,11,7.0,1,2006,-1.0,-1.0,-1.0
36-50,1,11,13.0,2,1996,-1.0,-1.0,8.0
51-65,2,11,11.0,2,1961,5.0,47113.0,1.0
19-35,1,11,13.0,1,1951,3.0,49221.0,1.0
51-65,1,11,11.0,2,1961,-1.0,-1.0,-1.0
36-50,2,11,11.0,2,1974,-1.0,-1.0,-1.0
51-65,2,11,7.0,4,1965,-1.0,-1.0,7.0
0-18,2,11,7.0,4,2002,5.0,84110.0,1.0
51-65,2,11,3.0,1,1994,3.0,84110.0,9.0
66+,2,11,11.0,1,1949,-1.0,47598.0,3.0
0-18,1,11,5.0,1,1963,-1.0,-1.0,1.0
0-18,2,11,-1.0,1,2017,-1.0,-1.0,-1.0
51-65,2,11,11.0,2,1996,-1.0,-1.0,7.0
66+,1,11,8.0,4,1945,3.0,14101.0,1.0
0-18,1,11,6.0,2,1972,3.0,-1.0,1.0
36-50,2,11,11.0,1,1968,-1.0,64910.0,8.0
51-65,1,11,10.0,2,2002,-1.0,-1.0,1.0
51-65,1,11,12.0,2,1953,-1.0,-1.0,4.0
19-35,1,11,10.0,1,1993,5.0,49222.0,1.0
36-50,2,11,5.0,2,2004,-1.0,-1.0,1.0
0-18,2,11,0.0,2,1996,-1.0,-1.0,7.0
19-35,2,11,-1.0,1,1954,-1.0,-1.0,7.0
19-35,2,11,13.0,1,1959,-1.0,-1.0,9.0
51-65,2,11,8.0,4,1960,5.0,47817.0,1.0
51-65,2,11,8.0,1,1958,3.0,-1.0,7.0
0-18,2,11,15.0,1,2002,5.0,85229.0,1.0
51-65,2,11,13.0,1,2001,-1.0,86203.0,-1.0
19-35,2,11,13.0,2,1990,-1.0,-1.0,7.0
0-18,2,11,0.0,1,2014,-1.0,47113.0,8.0
0-18,1,11,11.0,1,1947,-1.0,10711.0,1.0
19-35,2,11,8.0,1,2002,3.0,-1.0,1.0
51-65,2,11,16.0,2,1958,5.0,86202.0,2.0
66+,2,11,12.0,2,1951,-1.0,-1.0,7.0
36-50,1,11,10.0,2,1975,3.0,36002.0,1.0
0-18,1,11,11.0,2,1968,6.0,14104.0,1.0
0-18,1,11,2.0,1,2011,-1.0,-1.0,-1.0
36-50,2,11,7.0,2,1957,-1.0,46521.0,9.0
19-35,2,11,10.0,1,1995,3.0,61901.0,1.0
19-35,1,11,10.0,2,1968,3.0,-1.0,1.0
19-35,2,11,13.0,1,2007,-1.0,-1.0,1.0
36-50,2,11,11.0,2,2015,5.0,-1.0,7.0
19-35,2,11,11.0,2,1996,-1.0,-1.0,7.0
36-50,1,11,16.0,2,1976,-1.0,-1.0,-1.0
36-50,2,11,13.0,2,1973,-1.0,-1.0,7.0
66+,2,11,7.0,2,1972,-1.0,49221.0,7.0
19-35,1,11,10.0,2,1996,-1.0,-1.0,9.0
0-18,2,11,13.0,1,1948,-1.0,-1.0,99.0
0-18,2,11,8.0,2,1955,-1.0,-1.0,1.0
19-35,2,11,5.0,2,1996,3.0,-1.0,1.0
19-35,1,11,13.0,1,1991,3.0,10713.0,1.0
36-50,1,11,10.0,2,1976,3.0,11041.0,1.0
0-18,2,11,9.0,1,2004,-1.0,-1.0,-1.0
36-50,2,11,8.0,1,1959,-1.0,84110.0,7.0
51-65,2,11,11.0,2,1961,5.0,47113.0,1.0
0-18,2,11,12.0,2,2006,-1.0,-1.0,-1.0
19-35,1,11,13.0,1,2003,-1.0,43301.0,8.0
19-35,1,11,13.0,1,1999,-1.0,-1.0,8.0
66+,2,11,2.0,1,2005,5.0,-1.0,-1.0
19-35,1,11,12.0,2,1987,-1.0,-1.0,-1.0
36-50,2,11,8.0,2,2004,3.0,-1.0,1.0
51-65,2,11,10.0,2,1964,5.0,14104.0,7.0
0-18,2,11,7.0,1,2006,-1.0,-1.0,-1.0
36-50,2,11,12.0,2,1972,-1.0,-1.0,-1.0
19-35,1,11,10.0,1,1999,3.0,49232.0,1.0
51-65,1,11,10.0,1,1989,5.0,-1.0,1.0
51-65,1,11,13.0,1,2000,-1.0,-1.0,8.0
19-35,1,11,12.0,2,1985,5.0,41001.0,1.0
19-35,2,11,3.0,2,1989,-1.0,-1.0,7.0
66+,1,11,5.0,1,1982,3.0,-1.0,-1.0
66+,2,11,11.0,2,1947,-1.0,85492.0,1.0
0-18,1,11,11.0,2,1946,-1.0,47529.0,-1.0
0-18,1,11,10.0,2,1970,-1.0,97006.0,7.0
0-18,2,11,13.0,1,1958,-1.0,84120.0,1.0
0-18,1,11,10.0,1,1971,1.0,-1.0,1.0
36-50,2,11,10.0,2,1979,5.0,13921.0,1.0
19-35,1,11,11.0,2,1997,-1.0,84130.0,-1.0
66+,1,11,11.0,1,1948,-1.0,-1.0,1.0
36-50,1,11,13.0,2,1982,1.0,85211.0,1.0
36-50,2,11,11.0,2,1951,3.0,-1.0,2.0
36-50,2,11,15.0,2,1971,1.0,85102.0,1.0
51-65,2,11,10.0,2,1989,-1.0,97006.0,7.0
19-35,2,11,13.0,1,1998,-1.0,-1.0,8.0
51-65,2,11,15.0,1,1981,-1.0,-1.0,1.0
19-35,2,11,11.0,2,2003,-1.0,-1.0,-1.0
51-65,2,11,11.0,2,1967,-1.0,-1.0,7.0
66+,1,11,5.0,1,1982,3.0,-1.0,-1.0
51-65,2,11,13.0,2,1972,3.0,-1.0,1.0
66+,1,11,9.0,1,1973,-1.0,47113.0,-1.0
36-50,1,11,11.0,1,1983,-1.0,33150.0,2.0
19-35,2,11,13.0,1,1999,2.0,64191.0,1.0
36-50,1,11,11.0,2,1976,5.0,15121.0,1.0
66+,1,11,13.0,2,1951,3.0,47529.0,1.0
0-18,1,11,2.0,1,2010,-1.0,-1.0,-1.0
19-35,1,11,11.0,1,2000,-1.0,-1.0,3.0
36-50,1,11,11.0,2,1983,4.0,14101.0,1.0
19-35,2,11,0.0,2,1966,1.0,-1.0,-1.0
19-35,1,11,15.0,1,1992,-1.0,-1.0,-1.0
36-50,1,11,11.0,2,1979,1.0,56210.0,1.0
66+,2,11,7.0,2,2011,-1.0,46492.0,1.0
36-50,1,11,13.0,2,1973,-1.0,-1.0,-1.0
36-50,1,11,11.0,2,2013,1.0,41002.0,1.0
36-50,2,11,12.0,2,1992,-1.0,-1.0,1.0
0-18,2,11,8.0,1,1967,-1.0,-1.0,7.0
0-18,2,11,10.0,1,1997,-1.0,-1.0,1.0
19-35,2,11,3.0,4,1994,-1.0,84130.0,1.0
66+,1,11,13.0,1,1976,-1.0,-1.0,2.0
19-35,1,11,6.0,2,1958,5.0,-1.0,-1.0
36-50,1,11,7.0,1,1999,-1.0,46521.0,7.0
51-65,2,11,11.0,1,1964,-1.0,-1.0,7.0
51-65,1,11,13.0,4,1941,-1.0,-1.0,4.0
19-35,1,11,13.0,1,1997,-1.0,-1.0,8.0
66+,1,11,5.0,2,1940,-1.0,-1.0,9.0
36-50,1,11,11.0,2,1982,-1.0,-1.0,-1.0
36-50,2,11,10.0,2,1975,-1.0,-1.0,7.0
51-65,1,11,4.0,1,1958,-1.0,-1.0,9.0
0-18,2,11,11.0,1,2000,-1.0,-1.0,8.0
0-18,1,11,9.0,1,2004,-1.0,-1.0,-1.0
51-65,2,11,12.0,4,1989,4.0,49232.0,7.0
36-50,2,11,13.0,2,1976,2.0,-1.0,1.0
0-18,2,11,15.0,2,1980,-1.0,-1.0,1.0
19-35,1,11,6.0,2,1958,5.0,-1.0,-1.0
0-18,2,11,7.0,2,1977,3.0,47721.0,1.0
0-18,2,11,13.0,1,1958,-1.0,84120.0,1.0
19-35,2,11,9.0,2,1976,-1.0,84110.0,8.0
66+,1,11,10.0,1,1963,1.0,-1.0,7.0
0-18,2,11,-1.0,2,1976,5.0,97004.0,5.0
51-65,2,11,-1.0,1,1941,-1.0,-1.0,1.0
19-35,2,11,11.0,1,1961,-1.0,-1.0,7.0
19-35,1,11,13.0,2,1976,-1.0,-1.0,1.0
66+,1,11,5.0,2,2009,-1.0,-1.0,7.0
66+,1,11,3.0,2,1959,3.0,-1.0,7.0
19-35,2,11,4.0,1,1976,-1.0,-1.0,1.0
66+,2,11,5.0,4,1933,-1.0,-1.0,9.0
19-35,1,11,14.0,1,1998,-1.0,-1.0,-1.0
19-35,2,11,11.0,2,1991,-1.0,-1.0,7.0
36-50,1,11,10.0,1,1975,-1.0,-1.0,9.0
19-35,1,11,5.0,4,1967,-1.0,84120.0,1.0
36-50,1,11,12.0,2,1982,3.0,55106.0,1.0
0-18,1,11,10.0,2,1949,6.0,14101.0,1.0
66+,1,11,11.0,1,1972,3.0,-1.0,-1.0
66+,1,11,13.0,7,1964,3.0,22203.0,1.0
36-50,2,11,10.0,2,1974,3.0,55101.0,1.0
66+,1,11,7.0,2,1937,-1.0,-1.0,5.0
0-18,1,11,11.0,1,1941,-1.0,84110.0,1.0
0-18,2,11,3.0,1,1976,3.0,-1.0,-1.0
0-18,1,11,16.0,2,2017,-1.0,1414.0,8.0
0-18,1,11,6.0,1,2007,-1.0,-1.0,-1.0
0-18,2,11,1.0,1,2012,-1.0,-1.0,-1.0
0-18,1,11,-1.0,1,2015,-1.0,-1.0,-1.0
0-18,1,11,-1.0,1,2014,-1.0,-1.0,-1.0
36-50,1,11,13.0,2,1971,1.0,84230.0,1.0
19-35,2,11,12.0,2,2008,1.0,47113.0,1.0
51-65,2,11,10.0,1,1961,5.0,18111.0,-1.0
36-50,1,11,11.0,2,2008,-1.0,49221.0,9.0
36-50,2,11,11.0,1,1979,1.0,85102.0,1.0
36-50,2,11,10.0,2,1964,-1.0,49222.0,1.0
66+,2,11,8.0,4,1948,-1.0,-1.0,7.0
19-35,1,11,13.0,1,2000,3.0,-1.0,1.0
66+,2,11,11.0,4,1941,-1.0,-1.0,4.0
66+,1,11,13.0,1,1999,-1.0,23933.0,1.0
19-35,2,11,11.0,4,2000,3.0,13945.0,1.0
36-50,1,11,11.0,1,2001,5.0,55101.0,1.0
51-65,2,11,10.0,1,1977,-1.0,47711.0,9.0
0-18,2,11,9.0,1,1939,6.0,-1.0,8.0
